"","id","idgroup","sessionid","subject","period","condition","type","grouptype","contribution_id","roundprofit_id","sum_contribution_g","avg_contribution_g","avg_contr_g_others","strategic_ability","bin_strategic_ability","group_ability_cont","group_ability_cat","group_ability_bin","group_subjectid"
"104",18,"6","160321_1143",18,1,"STRAT","Freerider","grouptype_is_mixed",10,17.8,13,4.33333333333333,1.5,39.0401051939514,0,38.7332895025203,"MEDIUM","LOW_STRAT",3
"105",84,"25","160323_1155",12,1,"PREF","Freerider","Freerider",0,20.6,1,0.333333333333333,0.5,36.6666666666667,0,33.4343434343434,"LOW","LOW_STRAT",3
"106",101,"39","160323_1352",5,1,"PREF","Others","Others",1,34.6,26,8.66666666666667,12.5,35.5735492577598,0,55.1896836107362,"HIGH","HIGH_STRAT",3
"107",36,"12","160321_1405",12,1,"STRAT","Freerider","grouptype_is_mixed",0,36.2,27,9,13.5,47.0659133709981,1,38.4406779661017,"MEDIUM","LOW_STRAT",3
"108",98,"40","160323_1352",2,1,"PREF","Freerider","grouptype_is_mixed",15,15.8,18,6,1.5,58.2276203328835,1,46.3967611336032,"MEDIUM","HIGH_STRAT",3
"109",79,"31","160323_1155",7,2,"PREF","Others","Others",15,31.4,44,14.6666666666667,14.5,23.2323232323232,0,48.8552188552189,"MEDIUM","HIGH_STRAT",2
"110",149,"50","160324_1558",5,2,"RAND","Freerider","grouptype_is_mixed",0,38,30,10,15,38.2450832072617,0,44.0376533871239,"MEDIUM","HIGH_STRAT",1
"111",120,"33","160323_1352",24,2,"PREF","Freerider","Freerider",5,22.8,13,4.33333333333333,4,47.9262258209627,1,26.6276803118908,"LOW","LOW_STRAT",2
"112",84,"25","160323_1155",12,2,"PREF","Freerider","Freerider",5,18,5,1.66666666666667,0,36.6666666666667,0,33.4343434343434,"LOW","LOW_STRAT",3
"113",143,"48","160323_1557",23,2,"PREF","Others","Others",15,38,55,18.3333333333333,20,40,0,41.003143364767,"MEDIUM","LOW_STRAT",3
"114",184,"62","160329_1355",16,2,"RAND","Freerider","grouptype_is_mixed",12,28.4,34,11.3333333333333,11,55.5555555555556,1,39.3242791602103,"MEDIUM","LOW_STRAT",2
"115",57,"22","160321_1553",9,2,"STRAT","CondCoop","grouptype_is_mixed",10,22,20,6.66666666666667,5,25.4082998661312,0,30.2275769745649,"LOW","LOW_STRAT",1
"116",121,"42","160323_1557",1,2,"PREF","Freerider","Freerider",20,24,40,13.3333333333333,10,77.0561705617056,1,53.9702063687304,"HIGH","HIGH_STRAT",2
"117",157,"53","160324_1558",13,2,"RAND","Freerider","grouptype_is_mixed",0,26,10,3.33333333333333,5,50.4555387460077,1,35.6709811172746,"LOW","LOW_STRAT",2
"118",167,"56","160324_1558",23,2,"RAND","Others","grouptype_is_mixed",12,33.2,42,14,15,52.6777609682299,1,56.0150165293887,"HIGH","HIGH_STRAT",2
"119",88,"32","160323_1155",16,2,"PREF","UncondCoop","grouptype_is_mixed",15,38,55,18.3333333333333,20,43.3333333333333,0,56.3299663299663,"HIGH","HIGH_STRAT",2
"120",112,"33","160323_1352",16,2,"PREF","Freerider","Freerider",8,19.8,13,4.33333333333333,2.5,25.2901484480432,0,26.6276803118908,"LOW","LOW_STRAT",3
"121",6,"8","160321_1143",6,2,"STRAT","Freerider","grouptype_is_mixed",6,38.6,41,13.6666666666667,17.5,20.0788954635109,0,25.2991452991453,"LOW","LOW_STRAT",3
"122",20,"7","160321_1143",20,2,"STRAT","CondCoop","grouptype_is_mixed",20,19.8,33,11,6.5,37.0677186061801,0,33.5218058294981,"LOW","LOW_STRAT",3
"123",40,"15","160321_1405",16,2,"STRAT","Freerider","grouptype_is_mixed",2,31.2,22,7.33333333333333,10,30.4180790960452,0,30.7746390458255,"LOW","LOW_STRAT",3
"124",11,"5","160321_1143",11,2,"STRAT","CondCoop","grouptype_is_mixed",20,33,55,18.3333333333333,17.5,44.9967126890204,1,42.4326101249178,"MEDIUM","HIGH_STRAT",2
"125",158,"53","160324_1558",14,2,"RAND","Freerider","grouptype_is_mixed",5,21,10,3.33333333333333,2.5,12.1129601613717,0,35.6709811172746,"LOW","LOW_STRAT",3
"126",50,"23","160321_1553",2,2,"STRAT","CondCoop","grouptype_is_mixed",10,37,45,15,17.5,20.3212851405622,0,22.9808121374386,"LOW","LOW_STRAT",1
"127",65,"22","160321_1553",17,2,"STRAT","Others","grouptype_is_mixed",10,22,20,6.66666666666667,5,39.8661311914324,0,30.2275769745649,"LOW","LOW_STRAT",3
"128",63,"24","160321_1553",15,2,"STRAT","Others","grouptype_is_mixed",0,38,30,10,15,6.66666666666667,0,4.44444444444444,"LOW","LOW_STRAT",2
"129",39,"14","160321_1405",15,2,"STRAT","CondCoop","grouptype_is_mixed",3,23,10,3.33333333333333,3.5,34.8173258003767,0,35.1964846202134,"LOW","LOW_STRAT",1
"130",30,"11","160321_1405",6,2,"STRAT","UncondCoop","grouptype_is_mixed",2,23.4,9,3,3.5,55.1939736346516,1,48.9642184557439,"HIGH","HIGH_STRAT",3
"131",150,"50","160324_1558",6,2,"RAND","CondCoop","grouptype_is_mixed",20,18,30,10,5,54.5234493192133,1,44.0376533871239,"MEDIUM","HIGH_STRAT",3
"132",10,"5","160321_1143",10,2,"STRAT","CondCoop","grouptype_is_mixed",15,38,55,18.3333333333333,20,40.7889546351085,0,42.4326101249178,"MEDIUM","HIGH_STRAT",3
"133",18,"6","160321_1143",18,2,"STRAT","Freerider","grouptype_is_mixed",4,23.8,13,4.33333333333333,4.5,39.0401051939514,0,38.7332895025203,"MEDIUM","LOW_STRAT",3
"134",105,"38","160323_1352",9,2,"PREF","Others","Others",10,28,30,10,10,40.0539811066127,0,48.349077822762,"MEDIUM","HIGH_STRAT",1
"135",104,"35","160323_1352",8,2,"PREF","Freerider","Freerider",0,23,5,1.66666666666667,2.5,55.4475933423302,1,35.6125356125356,"LOW","LOW_STRAT",1
"136",60,"22","160321_1553",12,2,"STRAT","Freerider","grouptype_is_mixed",0,32,20,6.66666666666667,10,25.4082998661312,0,30.2275769745649,"LOW","LOW_STRAT",2
"137",41,"13","160321_1405",17,2,"STRAT","Freerider","grouptype_is_mixed",10,22.6,21,7,5.5,42.2222222222222,0,40.8612680477087,"MEDIUM","LOW_STRAT",1
"138",142,"48","160323_1557",22,2,"PREF","Others","Others",20,33,55,18.3333333333333,17.5,47.4538745387454,1,41.003143364767,"MEDIUM","LOW_STRAT",1
"139",87,"32","160323_1155",15,2,"PREF","Freerider","grouptype_is_mixed",20,33,55,18.3333333333333,17.5,44.4444444444444,1,56.3299663299663,"HIGH","HIGH_STRAT",1
"140",114,"38","160323_1352",18,2,"PREF","Others","Others",0,38,30,10,15,44.3364822312191,1,48.349077822762,"MEDIUM","HIGH_STRAT",2
"141",151,"51","160324_1558",7,2,"RAND","Others","grouptype_is_mixed",20,27,45,15,12.5,6.66666666666667,0,34.9918753852188,"LOW","LOW_STRAT",2
"142",122,"43","160323_1557",2,2,"PREF","Freerider","Freerider",0,21.2,2,0.666666666666667,1,35.8917589175892,0,23.0750307503075,"LOW","LOW_STRAT",2
"143",108,"35","160323_1352",12,2,"PREF","Freerider","Freerider",0,23,5,1.66666666666667,2.5,23.6707152496626,0,35.6125356125356,"LOW","LOW_STRAT",3
"144",54,"24","160321_1553",6,2,"STRAT","Others","grouptype_is_mixed",20,18,30,10,5,6.66666666666667,0,4.44444444444444,"LOW","LOW_STRAT",3
"145",85,"31","160323_1155",13,2,"PREF","Others","Others",12,34.4,44,14.6666666666667,16,55.3535353535353,1,48.8552188552189,"MEDIUM","HIGH_STRAT",1
"146",55,"23","160321_1553",7,2,"STRAT","Freerider","grouptype_is_mixed",20,27,45,15,12.5,24.4444444444444,0,22.9808121374386,"LOW","LOW_STRAT",3
"147",23,"6","160321_1143",23,2,"STRAT","CondCoop","grouptype_is_mixed",9,18.8,13,4.33333333333333,2,39.0138067061144,0,38.7332895025203,"MEDIUM","LOW_STRAT",2
"148",12,"6","160321_1143",12,2,"STRAT","Freerider","grouptype_is_mixed",0,27.8,13,4.33333333333333,6.5,38.1459566074951,0,38.7332895025203,"MEDIUM","LOW_STRAT",1
"149",161,"54","160324_1558",17,2,"RAND","CondCoop","grouptype_is_mixed",10,25,25,8.33333333333333,7.5,31.5784165405951,0,41.6271642292822,"MEDIUM","LOW_STRAT",3
